,content,rating,location
4794,"['it was great experience staying in sheraton macau. the hotel was nice, and twas the center of the places we needed to go to.  the whole hotel staff was awesome. everybody was friendly and accomodating.   special shout out to samuel, jethro, sheena and brent! you made the experience more pleasant :)']",50,2 contributions
11404,"['Nice interiors. Big brand new hotel with huge shopping malls that combine all 4 into 1 - Shoppes at Four Seasons, Shoppes at Venetian, Shoppes at Parisian, Shoppes at Cotai Central. Great walk around experience.   Catch your free bus shuttle rides from Immigration Terminal. Runs frequently every 15-20 minutes']",40,"Singapore, Singapore116 contributions13 helpful votes"
19946,"[""i chose this hotel bec i've been heard about it for years besides the amazing photos i saw online. yes the decoration is very luxurious, but the service is not. they charge $160 for 24hrs internet, however, on my  2nd nite there, i cannot log into the payment page! means that even i want to pay for internet, they don't give me the chance! the IT came to mend for the whole nite yet useless_ besides the food is also plain_had 3breakfast, no comments ""]",30,1 contribution1 helpful vote
8793,"['Stayed at this massive 4000-room hotel last weekend.  Great location to all the branded stores and very convenient to walk across to The Venetian via the sky bridge.  The rooms are comfortable and clean but I can hear the construction works across the street.  I am totally impressive with their breakfast operations in one of their many ballrooms.  Despite the crowd, the chef was happy to cook my special order of egg white only omelette.   The staff refilled our coffee without asking.  The hostess at the entrance attempted to address me by name.  Kudos to the management. ']",40,"Singapore, Singapore22 contributions6 helpful votes"
3079,"[""Grand Hyatts are the best of of the Hyatt hotels and the GH Macau is no exception. An absolutely stunning structure, the hotel is located in the City of Dreams area and is very close to both the airport and the ferry terminals. Macau itself is rather small and all the hotels are well connected. There's a free City of Dreams shuttle coming to the hotel every 15 mins or so.  I had visited the hotel for a conference and the hotel has sufficient infrastructure to cater to even large business meetings. There's 1 full floor with large ballrooms, meeting and conference rooms.  There are basically 2 towers - Grand and Grand Club - and I got a room in the Grand Club. The room was spacious with 2 large twin beds, a more than sufficient closet area and a well-equipped and spacious"", '_']",40,Bangalore917 contributions114 helpful votes
14488,"['This was my first time to Macau and could not have picked at better location for a hotel.  the hotel was 5 mins walk to the old part of Macau and what a wonder that was. Easy access to everything either by bus, walking or taxi.  The hotel itself was brilliant from the time we checked in, the room was spacious, clean very very comfortable with a lovely view of the river, facilities second to none and their room service was impeccable.  Price was excellent and the service and the smiles of all the staff were second to none.  Would I stay there again absolutely.']",50,"Canberra, Australia118 contributions18 helpful votes"
15646,"['While staying at the hotel were all very happy family. Breakfast buffet food types can vary, but it could do with some further enhanced the quality of the food. I want to visit again later. Hotels are sufficient to make good memories.']",50,"Suwon, South Korea1 contribution1 helpful vote"
7201,"['Honestly, I cannot follow many of those who posted the review here on Tripadvisor... but so be it! I just stayed recently at it was most likely by far the worst experience I had in a so called 5* hotel over the past couple of years. It starts already with the feeling of being a number instead a guest that you have to line up for check in...that alone is already not 5* but the fact the the check in process is slow and many counters are not manned is another fact. The check in was not organized at all and took over 10 minutes leaving the waiting time aside. The staffs was not well trained neither customer oriented.  That the lobby has no charm as it is permanently overrun by game machines is a fact that you have to accept when you are in Macau... The whole ambiance just feels odd.', '_']",20,"Berlin, Germany131 contributions81 helpful votes"
9867,"['The best experience we have had so far. The staff was very courteous - and upgraded to 28th Floor and a fantastic pool view. A spectacular view from the 28th floor and room was magnificent. The staff treated us so well. From front office to urban kitchen, concierge, security, every person we met were so wonderful, we fell in love with the place and people. If you are reading this, we are loss of words to explain the wonderful experience we have had. We will surely go there again and again.  We are vegetarians and for us we have had very little choice. The hotel provides free bus shuttle facility to the city center, airport and to the ferry. Ambience of the hotel interiors superb.']",50,"Bengaluru, India110 contributions47 helpful votes"
2107,"[""We've stayed in the property for 2 nights last week,  booked a King Club Suite. The property is very new since it is only opened for 3 months. We've been staying in the Suite in Four Seasons, MO and Grand Hyatt in Macau in the past 3 years and sorry to say, it is really not up to standard! The room is ok, as a suite in the Cotai, it is small, The suite in FS is mush bigger and with much amenities in the room. You just won't expect you need to ask for a DVD when you stayed at the club suite which I will think it is something very basic! But you need to call them to ask for a DVD, then they told you we have to wait since it may not be available (Can you imagine you need to share this machine with the guests from both Holiday Inn and Conrad!). Then what till the DVD arrived, it"", '_']",30,Hong Kong34 contributions31 helpful votes
20880,"[""When in Macao you want to be in a classic hotel and the Venetian Macao is just about it. We went there with kids and seniors and had a great time. Their in house kids club called Qube is an excellent child entertainment facility. The pools are also fantastic. The hotel is very new and doesnt smell like its Vegas cousin (its only 4 yrs old in 2011) and is well maintained. The breakfast buffet has three options the biggest spread being the most chaotic in their cafe. The hotel also shows the cirque du soleil show 'Zaia' which is the best Crique show I have ever seen in my life and is a must must see for everyone. The food options are ample and its just convenient to be here. I got a massage at the spa and its quite an unreal spa & the staff is very skilled.""]",40,Thane29 contributions40 helpful votes
832,"['If you are looking for a luxury hotel with true 5 star service when in Macau  then the Conrad is the place. The hotel is part of the casino and shopping complex which gives you easy access to all the amenities of a  mini Las Vegas. You can also use the ferry terminal at Cotai is only a 10 minute ride away and there is a shuttle. The ferries take you to either  Kowloon or straight to the airport. If you want to see the Macau old town it is only a 10 minute taxi ride away. The rooms are big which are unusual for Asian countries and they all have a great view over the area. There is a good and big pool area with lots of space as well as a Spa with reasonable prices and excellent service. The executive lounge is big and extends to both sides of the hotel, they have a great afternoon', '_']",50,"London, United Kingdom1,946 contributions162 helpful votes"
7470,"['In reservation stage,  the staffs were being so helpful.  Reply my enquiry quickly and offer a spa package which includes upgrade to suite,  one way transfer and club lounge benefits etc.  All I thought was I could finally find a hotel in Macau that provide good service.  My experience was just bad....  1.Early check in was accomondate.  But when I check in,  I asked the staff if I can have an air purifier.  He said I could call from the room because he doesnt recommend to have the machine on when I am still in the room.  I felt weird with his statement but when I got into the room,  the machine was there.  2. After I enjoyed a relaxing Shine spa,  i was resting in my room.  One staff broke into my room without ringing the bell or knock on the door.  The manager replied the', '_']",10,"Toronto, Canada88 contributions69 helpful votes"
17028,"[""Stayed overnightas part of business trip and therefore was frustrated at the length of time it took to check in. There were only 3 in our party and the rooms were booked in advance so really couldn't see why it took so long. Putting that aside the hotel is awesome and the room we stayed in was very spacious and had fantastic views. The buffet breakfast was extensive and catered for both western and eastern tastes.""]",40,"Liverpool, United Kingdom176 contributions94 helpful votes"
7317,"['If you want to be in the middle of the Cotai region of Macau, then there is no better place to stay.  It is located right on the ""Cotai Stip"" (Think Las Vegas strip and you get the picture).  Sheraton Macao Hotel is also surrounded by 1st class shopping, restaurants, and a food court.  Though be prepared to pay for tourist prices.  It also connects to various other hotels/casinos through enclosed footbridge and interconnecting malls etc.  The hotel itself is tastefully decorated, The room d̩cor is a mix of old world charm (think marble bathrooms etc) and contemporary designs.  The rooms are quiet and comfortable.  Though I found it hard to get comfortable with the huge pillows provided.  Customer service is first rate, and cannot be faulted.  Service is always provided with a', '_']",50,"Sydney, Australia157 contributions108 helpful votes"
11184,"['Perfect hardware, comfortable bed, big screen TV with lots of channels. Great lightings i.side the room and great room view as well. Super hot shower which I seldom see in our 4 to6 stars hotel!   Room rate include ticket for visiting the tower and it was definitely a big plus for rhe value. Excellent view upthere at 37th floor height.   Have express check out for speedy takeoff however the check.in counter only open from 1pm during the day.']",40,"Hong Kong, China50 contributions1 helpful vote"
12275,"['Our family usually have Breakfast buffet at Mistral__.The food is delicious especially the food presentation and the warm and relaxing ambiance.  Thank you to Sheila the Restaurant Manager,Gladys and Art for being accomodating and hospitable.Will surely come back!!!']",50,"Macau, China1 contribution1 helpful vote"
15026,['To say that this hotel is imposing would be an understatement. As we walked in the shadow of this structure it__ hard not to be impressed while at the same time feeling like we were ants. This place is well worth a visit.'],40,"Sydney, Australia420 contributions37 helpful votes"
15653,"[""Overall, the hotel's entertainment facilities are good, whether it is indoor or outdoor. Whether it is a family tour or a couple travel the hotel is a good choice. The only fly in the ointment is the hotel check-in waiting time is too long the waste some time to play in the waiting area.""]",40,"GuangZhou, China1 contribution"
14755,"['This hotel is a excellent hotel, the location and cleanliness really excellent. the service provided also world class.']",50,"penang, malaysia1 contribution"
6052,"['Room is spacious with big comfortable king bed. Wifi is complimentary and fast. Went to the club lounge but felt that the staff at the counter was not very helpful and friendly.  Breakfast variety in club lounge is quite a lot but we saw some flies hovering over the donuts and avoided that dish. Speed of replenishing food is quite slow. Taste wise is only passable and disappointing as compared to other countries like Beijing and Taiwan.  Also had breakfast at Bene, one of the restaurants. Variety wise is not as much as club lounge. Taste is ok and would say that ambience is good as expected for an Italian restaurant.  Lifts are always crowded and as the hotel is quite big, you will need sometime to orientate yourself.']",40,"Singapore, Singapore141 contributions47 helpful votes"
15336,"[""My husband and I stayed here for two nights in the celebrity tower. Macau in general is amazing and Studio City is unbelievable! Excellent value for money and great facilities! The pool and gym are fantastic. Huge variety of food at the Breakfast buffet at Spotlight. Great free shuttle service that's travels frequently between all hotels in Macau, also to the ferry terminals.   One negative was that those staying in the celebrity tower don't have access to the indoor pool. We weren't told this at check in and when we tried to go in, we were told we had to pay. I found this to be very odd as people staying in the other tower had access and all the other facilities are shared. One other thing that would be great to improve is the variety of food. E.g it would be great to have"", '_']",40,"Sydney, Australia5 contributions1 helpful vote"
21352,"['Like a twin sister hotel of Venetian in Las Vegas, just newer and twice the size. Huge suite, beautiful bed and bathroom. The couch in the living room can also be converted into another full size bed (but you might have to ask for bedsheet though). Located on another island around 15 mins drive to Macau (about 60-70MOP by taxi), and right next to the Four Seasons and many giant hotels still under construction. The Venetian is really big so everywhere inside the hotel is quite far from each other (for ex: you have to walk a  very longggg way to their gorgeous swimming pools) and you might need at least 2-3 days to be able to check out where things are. Shops here are quite large and fancy, but they still have cheap stores like Bossini and some other local brands. Stores close at', '_']",50,"Ho Chi Minh City, Vietnam155 contributions27 helpful votes"
12522,"[""My friend and I went for a 2 night stay. Picked up by the bus from ferry and at the hotel in about 20 mins. We arrived and told we were upgraded!!!!!. Taken to 17th floor for executive checkin. What lovely girls they were. Lovely dining area with free afternoon tea which was very nice. View from window over old Macau. Nice room on 16 th floor overlooking the water. Divine beds and pillows. Then free drinks and eats back at dining area. Lovely food and wonderful staff. No need for dinner. Same for breakfast. We had a great time including a massage (lovely). We couldn't fault the service of this hotel. Highly recommend it upgrade or not. We went mid week in June 2017.""]",50,"Cairns, Australia1 contribution"
1523,"[""I like the fact that you can use the Conrad concierge app on your phone to customize your room and needs.  The app didn't work for this hotel for some reason but it did in Hong Kong.  No worries though because even before we landed my wife received an e-mail from Prem Comboz the front office duty manager to ensure that we have everything we needed and to double check our check in times.    We must have been greeted 4 times before making it into the check in area where Mr. Comboz was waiting for us.  Mr. Comboz checked us in and walked us up to our suite.  The suite was very large and accommodating.  I usually check to see how much noise their central air makes and this one was fairly quiet.  Nothing to prevent you from getting a nice night's rest.    The Conrad Hotel is"", '_']",50,"New York City, New York47 contributions50 helpful votes"
2090,"[""I am a frequent traveller and stayed at the Conrad Macao in July 2012. My experience was less than satisfactory. We checked-in at the Club Floor and were met by a snobbish Duty Manager - Nicole Chen. She was rude, moody, not friendly at all and with limited vocabulary. Considering the money we spent on food, drinks and accommodation, we expected a reasonable level of service. My husband and I wondered why Conrad Macao hires someone who is so inexperienced and with such poor manner. We certainly won't be returning to this hotel again. No thanks.""]",10,"Montreal, Canada3 contributions7 helpful votes"
15700,"[""Staff is very polite and helpful. The hotel is very pretty. The hotel room is very big and clean as well! I would recommend to my friends! Did't had a chance to the swimming pool this time. I will definitely coming back again for it!""]",50,"Hong Kong, China4 contributions2 helpful votes"
12429,"[""It's my second time staying there but I'm still totally in love with it! Just a few minutes walk from the city centre (i.e. tourist sites), where there're loads of restaurants for you to dine in/ take away. Transports are great as well; there's a bus stop from across the road, where you can take the bus to Taipa. You can also use the iHandy phone given to walk around Macau, and you can actually find some recommendations (e.g. food, visit, shopping) on it! Really helpful for those of us who didn't have mobile connection around the city!""]",40,"Hong Kong, China4 contributions4 helpful votes"
2201,"[""The service of Four Season Buffet was just amazing that you never expect this kind of warm and friendly hospitality from a buffet section which more.likely to be appear only for A la Carte. Staff know all the foods that were serving.on the buffet table and willing to explain and share their knowledge to their guest. it's my first time and I pretty sure that I will come back! Great job, Four season!""]",50,"Taichung, Taiwan16 contributions7 helpful votes"
18517,"['This is to bring to the notice of the management, that I had stayed in your hotel in the middle of may 2015 with my family and I very much regret to inform to you that we had to experience a bitter experience at your property, to elaborate further I would like to bring to your notice that during our stay at your property we had taken a Gandola ride and the photographer at the venue was persuading us to buy the souvenir photograph which was costing around 550 HKD.and on refusing to purchase the same he was very rude and arrogant he shouted on us and started murmuring in chinese language, after paying such high tariffs at your hotel, we were trying to enjoy the same but this incident real spoiled our two day holiday in macau, we really felt insulted and subjected to racism. Also', '_']",10,"Mumbai, India6 contributions13 helpful votes"
9936,"['Stayed for 3D2N and had a wonderful time using the facilities (water park, spa, restaurants, etc) and relaxing! Staff were very friendly and helpful. We got upgraded to a bigger room upon arrival with great view of the water park. Are at Urban Kitchen - well worth it! A must! Tried the pool side bar for lunch but seemed a little overprice for the selection they had. Overall very comfortable stay for a little retreat.']",40,"Beaune, France23 contributions6 helpful votes"
5242,"['Will definitely stay at the Sheraton for my next Macau trip.  Staff are helpful, good service and polite.  Bedroom is spacious and comfortable with a reasonable price. Fast check-in and check-out counters for travellers']",50,1 contribution
20109,"['We stayed 2 nites in Venetian in mid Nov & took 3 rooms for 6+1(kid) family members.   Besides the majestic palace-style lobby and the beautiful indoor gondola rides, the room is the wow-factor of the hotel. All rooms in Venetian are in fact ""suites"" which are huge with separate bedroom and living area.  The twin-bedded rooms come with 2 queen-sized beds which can accomodate 4 persons.   Being the second largest hotel in the world (3,000+suites), one can expect loads of tourists flooding the hotel.   As we went there during weekdays and non-seasonal holiday, the crowds were still bearable.  With this kind of mega hotel with huge crowds, we were prepared to meet with underated service. But to our surprise, their service is good and impeccable.  Our luggages were swiftly taken', '_']",40,"Kuala Lumpur, Malaysia73 contributions45 helpful votes"
17454,"[""We had great time staying here 3 days 2 night. Our room got upgraded since we booked through their portal. Wifi is a bit slowly and not stable sometimes. Express check out is so convenient, avoid any delay or waiting time. We highly appreciate for this idea.  Overly populated, food is overpriced. Most Casino dealers and employees doesn't know how to speak english, Cashier lines way too long for exchanging money.  Overall, we had a great time here. We surely will come back next time and recommend to other friends. Thanks !""]",40,"Bengaluru, India30 contributions18 helpful votes"
3543,"['I am a little tardy with this review so my apologies for that. The Grand Hyatt Macau is located within the City of Dreams in Taipa, Macau. Most visitors will arrive in Macau at one of the ferry terminals. We took the ferry from HKIA directly to Taipa and had about a 10 minute ride to the Grand Hyatt. This is a beautiful hotel located in the City of Dreams. When you first enter the hotel, the lobby is stunning with a big open ceiling, fountains, and giant staircases. The front desk staff were friendly, professional and incredibly helpful. After a very smooth check in we were escorted to our room, which had been upgraded to a Grand Executive Suite, I think the room was bigger than the first home i ever owned. The Grand Club was amazing for both breakfast and happy hour, and had', '_']",50,"Scottsdale, Arizona31 contributions7 helpful votes"
7019,"[""We just came back from a family trip to the Sheraton Macau. In a nutshell, it was a frustrating and horrible experience and we will never be back.  From the unbelievably long check in queues (even for the SPG counters where we had to wait close to 45 mins with only 4 people in front of us) to the seemingly ignorant staff and poor service (we had booked 2 rooms - one deluxe room and one family suite and long requested these rooms be close together as possible. Whilst checking in, we enquired whether this was available, and the lady said she couldn't find any Deluxe Rooms that were ready on the same floor as the Family Suite. This was already 5pm in the afternoon when checkin time is 3pm! When we agreed to the rooms being on different floors, the lady took another 5 minutes of"", '_']",10,1 contribution6 helpful votes
11362,"['The Sands group has done it again. What a gorgeous property, immaculate services rendered, good shopping outlets and fantastic F&B choices. It certainly has the Parisian feel and the lighting at night is simply awesome. I will be back for sure.']",50,"Kuala Lumpur, Malaysia1,216 contributions465 helpful votes"
20555,"['I visit Macau once a year and stay in different hotel each time. I won\'t recommend anyone to stay here.  At reservation stage, their information are really helpful and handle e-mails in timely manner.   When I arrived at 11am (arrival time has been sent at reservation stage), an unexpected unwelcoming gesture was delivered but the female staff who handled the line up queue. There were lots of Mainland Chinese checking out, that lady without any smile and told me rudely ""NOW IS ONLY 11AM, SHOULD RETURN AT LEAST  2PM!""  She didn\'t attempt to offer luggage storage assistance or at least ask for name and check my reservation status. I am sure you will miss your VIP if you continuous attitude like that.  I went to Concierge inquired for on-hire car and another female staff gave me an', '_']",20,"Toronto, Canada88 contributions69 helpful votes"
7702,"['My latest Macao tour last week was arranged by HIS as a package tour, and unfortunately the Air macao flight was cancelld suddenly so that my tour was also cancelled. But the Air macao could arranged us altenative flight through Hong Kong on that day, and after 12 hours behind the schedule I arrived the hotel in the morning. Althogh my hotel booking was cancelled, Mr. Eduardo Cailan gave us the stay as we boolked with his great hospitality and warm smile that was most inpressive service throuth our stay. I want to say millions thanks to Eduardo. Then I decide to stay your hotel next visit to Macao.  thank you again from Yokohama Japan Norio and Aiko']",50,"Yokohama, Japan1 contribution"
2080,"['We stayed 2 nights in Conrad Macao which just opened in April 2012. We were upgraded to a club suites, very spacious and make you feel you are truly in a 5 star luxury brand! The staff in the lounge are very warm and thoughtful and go out their way to make you feel special! Let them know if you are celebrating a special occasion the staff organized everything for you, like Kota and Nicole ! A big thank you to club manager Nicole, and her team, they really made a memorable stay for us! We defiantly will b back for that!']",50,3 contributions3 helpful votes
9335,"['We booked 2 rooms to stay over the recent weekend before NYE.  On arrival at the ferry we looked out for the free shuttle service to the hotel. Very convenient as it is only 10 mins from the hotel. Likewise on return , very convenient to board the shuttle bus back to Cotai ferry terminal.  This hotel is massive!!!! like 4000 rooms. Check in was fast and very pleasant. We got upgraded to a deluxe and executive suite. VERY nice surprise. The suites and furnishing were very tastefully decorated.  The deluxe suite was massive, would be a size of a 3 bedroom apartment in Sydney It had a separate powder room on entry. The living room and dining area was very spacious. A large flat screen TV was in living room, another TV room with fold out sofa and main bedroom with king size bed and', '_']",30,"Singapore, Singapore1,306 contributions46 helpful votes"
9141,"['i really had a wonderful stay in Sheraton Macau, with sweat servise and great staff. Also i need to thank to Kathy Chen for arranging me a special room that me and my boy really had a febulous memory!  when we back to room there is bottle wine n amenity on the table for celebrating our anniversary, i really felt sweet and touching! thanks for the hotel, i love it n appteciate it, i promise i will definitely back here again!!!!']",50,taiwan3 contributions20 helpful votes
10962,"['Recently, I__e been in Macao and didn__ know what to expect.   I started my journey in ancient Macao at the Ruins of St. Paul__. There, I met a concierge from the Parisian Macao Hotel. Although she didn__ know me, she showed me the Senate Place, the Church of St. Joseph and we ate together Egg Tart. While she accompanied me on my journey in Macao, she told me stories of this city from the past and present. It was so exciting.  From the Gran Lisboa, she took me to New Macao, because she was on her way to work.  I really had no idea, that within an afternoon, I would have the chance to feel in Paris, Venice and Hollywood. For me it was particularly exciting, because I was not at any of these places before. The highlight was certainly the Eiffel Tower. I have been learning French', '_']",50,"Hong Kong, China2 contributions1 helpful vote"
10823,"['We stayed on 21Jan to celebrate birthday. First of all, I love this suite room so beautiful! n It was great experience for us to celebrating birthday in Parisian Macau.  Especially the staff- Terrence ,he was so helpful and delivery the excellent experiences for us. Absolutely, we will come back for him.']",50,8 contributions
13989,"['My husband and l were lucky enough to recently have a 4 night break at sofitel ponte 16 in Macau we were in need of some pampering and quiet time after a stressfull few months and a disappointing 7 night tour of Beijing prior, from the time we stepped into the lobby the service was amazing, friendly and sincere from all staff on duty we were escorted quickly to the club floor reception for check in and offered an upgrade to a suite it was beautifull and we felt really special and enjoyed the club room priveleges every day especially the evening cocktails and canapes it was a very special experience had not previuosly been able to afford. We would not hesistate to recommend this hotel to anyone visiting Macau but be sure your visa is valid to re enter china if you have been there', '_']",50,"Melbourne, Australia7 contributions17 helpful votes"
11364,"['Greatest and grand, the makers of this site gave it a shot and nailed it. For a quick visit, we felt the hospitality of the staff, very good food from the brassiere and most of all the view of the tower. Must visit!']",50,"Dubai, United Arab Emirates8 contributions1 helpful vote"
6701,"['We had a great stay.  The pool area is done very innovatively, with small pool areas separated of you want to have fun with your family. The rooms are great. We were at the lounge access room so we gas a great time@the lounge in the evenings. Breakfast shad was nice, although with limited vegetarian options. The one thing that they need to improve is that they did not have a live egg station. I thought it s a must for any five start hotel breakfast spread.']",50,"Gurugram (Gurgaon), India91 contributions8 helpful votes"
12743,"['My wife and I caught an Accor sale on the Sofitel Macau at Ponte 16 and wow was it worth it for the price we paid. I would like to state that it would have been really nice if they would have thrown us a bone because the first night of the stay put us up to ""Gold"" status but alas they didn\'t. I don\'t know if they can tell where their guests are in the loyalty scheme but it would be wonderful attention to detail that would have impressed me. We did have access to the executive lounge and it was so nice to be up there and staying in a room on the same floor as the lounge. It was super convenient. Paige, one of the workers in the lounge, really knew what she was doing and how to make guests feel comfortable and welcome. I\'m not sure if she\'s a manager but she\'s great and maybe', '_']",50,"Singapore, Singapore102 contributions83 helpful votes"
3516,"['Here for two nites for conference and team building. Upgraded to a big suite. Spacious. Comfy bed. Good toiletries. But irritating smell in the living room. I suspect there were people who smoked in the room before and the hotel tried to clear it up...anyway, strong chemical smell. Luckily it was not in the bedroom.   Breakfast average. Given the things you can do in macau hotels, grand hyatt seems below par. Shopping areas big but all the big brands and no customers.   Maintenance and customer service needs to be strengthened. Staff who checked me out did not look at me, did not say thank you but just \'he yi\' -- ""ok"" in putonghua!!  Frequent customer to grand hyatt. Have to say i am surprised by the service. ']",30,"Hong Kong, China92 contributions48 helpful votes"
722,"['Really really thankful to Stella And Gary who helped me check in ,as I was really tired and exhausted they made my check in quick and easy and even helped me send my luggage which was stored at Sheraton to bring it to my room. Thank u once again n keep up the good work much appreciated.  ']",50,"Macau, China9 contributions3 helpful votes"
16383,"[""I have tried other hotels in Macau and Vegas over Venetian, but no one can beat Venetian for that touch, u must try different suites like rialto and panorama, even though it's base room is very spacious, the marbles in the bathroom would leave u awe struck, food options are there but all inclusive thing is always missing, I love the Venetian epoxy floor in the grand canal shoppes area, no one can beat the ambience in that area,lot of shopping options are there but it is pricey.""]",50,"Ludhiana, India270 contributions15 helpful votes"
8001,"['We went in March to see the Rolling Stones. The hotel was fine, the room was a twin and perfectly big enough. Nothing exciting or amazing, but nothing wrong with it either. There are other I think better hotels nearby, but probably more expensive. The Sheraton is above its own casino and sort of melds into a shopping mall which has some restaurants and a mix of luxury and mid level shops and then turns into another big hotel. Amazingly (to us) there was no proper bar, we were pointed to the empty lobby cafe which has a few bottles of alcohol. So the concierge sent us over to the bar in the casino of the Venetian - connected by a covered bridge from the shopping mall. And he was right, the casino and the bar were much livelier over there and in fact the bar had a really good DJ', '_']",30,"London, United Kingdom172 contributions117 helpful votes"
7378,"['The room quality is good, with sufficient space, good bathroom and excellent bed. However, the hotel is crowded with mainland tourists, so a little bit too noisy. The biggest problem was that we were served by an untrained crew during check in, so it took us more than 15 mins to finish the procedure, and I didnt quite feel that they felt sorry for that.']",40,"Hong Kong, China73 contributions11 helpful votes"
5587,"['Was in southern China for business and needed a place to hide away from the boredom and factories of southern China. Took a ferry ride here and it was simple and easy. The hotel has free shuttle from/to ferry station which was excellent and much easier than Taxi. The hotel is pretty new and very clean compare to other ones in southern China. It was very comfortable room to stay in and relax. Highly recommended. The SPG member benefit is also great here even though the lounge is under renovation, the hotel tried to make it up by letting you visit the buffet restaurants. Morning breakfast was OK and the dinner was like a true Vegas buffet. I was amazed by it. Again, highly recommend it. I would choose to return here if I get a chance in the future without a heartbeat. Great job!!']",50,"Irvine, California8 contributions3 helpful votes"
14735,"['Located away from the main hotel district overlooking the inner harbour area, You could be forgiven initially for thinking you__e made a poor pick of Hotel location wise, However 10 mins walk away is the heart of Macau and the surrounding streets offer A real taste of Macau as opposed to a barren landscape that is often found between hotel complexes in other areas of town. ( The streets nearby the hotel really do offer a wealth of shops both tourist focused of particular note the Chinese Seafood Restaurant directly next door to the Hotel has an excellent Yum Cha offering popular with locals and tourists )   The Hotel offers free transfers from the Ferry Terminal and also the Chinese Border Gate. Upon arriving at the Ferry Terminal we did have to wait 30 mins for the mini bus,', '_']",30,"Sydney, Australia33 contributions77 helpful votes"
