c45000024,s4,The in room dining took the cake for being the worst I had the pleasure of experiencing in many years,[in room dining][-],,,,,
c45000025,s2,The condition of the room is unacceptable,[room][-],,,,,
c45000025,s3,"Carpet in living room has large stains, it looks unpleasant and uncomfortable",[Carpet][-],[living room][-],,,,
c45000025,s4,The four leather chairs are all rough and cracked,[leather chairs][-],,,,,
c45000026,s2,"While we raising up our hands for more than 10s, i thought the server saw us already, but actually they are still talking with other",[server][-],,,,,
c45000027,s3,"I did ask for the detail about the mooncake decoration, but the staff didn't mention there will be a difference between the sample and the actual products",[staff][-],,,,,
c45000027,s4,"Unfortunatly, when i collected my two mooncake boxes, i was so disappointed by the outlook and mooncake quality",[quality][-],,,,,
c45000027,s5,"The actual mooncake boxes turn out to be unexpected and looks like broken, such as the butterfly and dragonfly were not stick properly with matching with the decoration (The staff have never mention about the butterfly and dragonfly were not going to stick on the box",[mooncake][-],[staff][-],,,,
c45000028,s4,"Unfortunately, upon arrival around 12noon, according to the Front Desk staff, no room is ready yet which, of course, we understand since 3pm is the standard checkin time",[Front Desk staff][-],[room][-],,,,
c45000029,s6,Our room was non-smoking but often a strong smoke smell would come into our room,[room][-],[smoke][-],,,,
c45000029,s9,The service at the Grand Hyatt was hit or miss,[service][-],,,,,
c45000030,s2,This lounge service is so disappointed to me,[lounge service][-],,,,,
c45000030,s9,"Also, when I have the evening cocktail time, the others chef service is so bad",[service][-],,,,,
c45000031,s1,"Stayed there for two nights, the hotel itself is fab, clean, modern and good sized rooms, however, 99% of the staff we mat are not up to standard",[rooms][0],[staff][-],,,,
c45000032,s5,They have decided to remodel this relatively new hotel and if you have visited prior to the beginning of this year you will be very disappointed with the Club Lounge and Gym,[Club Lounge][-],[Gym][-],,,,
c45000033,s2,"The valet parking staffs were so arrogant and not willing to provide assistance, they even asked me to park in the public car park by myself",[staffs][-],,,,,
c45000033,s4,"The receptionists were rude and impolite, two of my vvip guests were so unhappy because of their innocent behavior and untrained conversation, finally, my vvip guests went to Conrad hotel and paid by themselves, I was embarrassed to them",[receptionists][-],,,,,
c45000034,s4,"The room (a suite) was exceedingly spacious, especially for a brief stay",,,,,,
c45000034,s5,"In order to sleep more properly, we had to put some extra effort into getting used to the loud-noise air-conditioning",[noise][-],[air conditioning][-],,,,
c45000035,s6,"Room was like an abandoned hotel in the middle of Chernobyl, Russia",[Room][-],,,,,
c45000035,s7,"First I looked outside the window and all I saw was a junkyard, the living room was plain with no atmosphere, kitchen area was like a utility kitchen for staff, table and chairs were uncomfortable, no easily accessible outlets for my laptop, bedroom was plain, bathroom was like a poolside bath",[living room][-],[atmosphere][-],[tables][-],[chairs][-],[bedroom][-],[bathroom][-]
c45000036,s3,As we arrived the hotel their were so many people quing to check in,[check in][-],,,,,
c45000036,s4,Lockly I have a platinum membership so we had to wait for only 15 min,,,,,,
c45000036,s5,The room was ok but we expected better from the hyatt,[room][-],,,,,
c45000036,s6,The most disappointing part was the dinning options,[dinning options][-],,,,,
c45000037,s6,The shades were broken to hide the shower so a repairman was called and quickly repaired the problem,[shower][-],,,,,
c45000038,s2,The lobby is poorly thought out with adjacent checks invisible to each other; such that the staff can not see how many people were queuing,[lobby][-],[staff][-],,,,
c45000038,s3,Tried to check in and had to wait an 30 mins in queues,check in][-],,,,,
c45000038,s4,There is no organised method of checking in customers on a first come first served basis,[checking in][-],,,,,
c45000038,s5,"Checking in at 4pm, one hour after the check in time, and no rooms available",[rooms][0],,,,,
c45000039,s1,Long waiting for check-in (more than 15 minutes) but still acceptable as I could see how busy the lobby was,[check-in][-],[busy][-],,,,
